NAME;ADDRESS;TYPE;LOCATION;SUMMER_HOURS;WINTER_HOURS;WHEEL_ACCESS;MAINTAINER;NOTE;Geom;Geo Local Area;PRIMARYIND
Columbia Park;5908 Alberta Street;Public Toilet in Park;;Dawn to Dusk Weekends only;Dawn to Dusk Weekends only;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.112908974023, 49.231522997877]}";Oakridge;15
Falaise Park;3434 Falaise Avenue;Public Toilet in Park;Community Hall;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Women's is closed Mon - Fri during school days;"{""type"": ""Point"", ""coordinates"": [-123.029405986745, 49.2551230346758]}";Renfrew-Collingwood;19
Garden Park;1851 Garden Drive;Public Toilet in Park;North east corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.058333994001, 49.2682859984386]}";Grandview-Woodland;22
Grandview Park;1255 Commercial Drive;Public Toilet in Park;South side;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.069954446436, 49.2737616313216]}";Grandview-Woodland;24
Grays Park;4850 St. Catherines Street;Public Toilet in Park;Centre west by parking lot;Dawn to Dusk;Closed;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.084887032665, 49.2407870046013]}";Kensington-Cedar Cottage;26
Hadden Park;1905 Ogden Avenue;Public Toilet in Park;West, caretaker house (actually in Kits);Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.15030998211, 49.2774609930893]}";Kitsilano;27
Jericho Beach Park;3941 Point Grey Road;Public Toilet in Park;Concession/fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.191658959557, 49.2715800212711]}";West Point Grey;31
Jonathan Rogers Park;110 W 7th Avenue;Public Toilet in Park;North side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.107620016125, 49.2644980299255]}";Mount Pleasant;34
Jones Park;5350 Commercial Street;Public Toilet in Park;North west corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.068328027105, 49.2362049589966]}";Kensington-Cedar Cottage;35
Memorial West Park;4701 Dunbar Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.188455003096, 49.2433349852208]}";Dunbar-Southlands;43
Montgomery Park;1040 W 43rd Avenue;Public Toilet in Park;North east corner;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.129240986478, 49.2318260466293]}";Oakridge;45
New Brighton Park;3201 New Brighton Road;Public Toilet in Park;South side of pool building;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.036025007443, 49.2893339699629]}";Hastings-Sunrise;47
New Brighton Park;3201 New Brighton Road;Public Toilet in Park;North east corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.036308, 49.289293]}";Hastings-Sunrise;48
Oak Park;900 W 59th Avenue;Public Toilet in Park;East side field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.127640978659, 49.216285995094]}";Marpole;50
Prince Edward Park;3773 Prince Edward Street;Public Toilet in Park;Sout east corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.097056994174, 49.2511909721127]}";Riley Park;53
Robson Park;599 Kingsway;Public Toilet in Park;;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.092848986795, 49.2586270164444]}";Mount Pleasant;59
Stanley Park;2000 W Georgia Street;Public Toilet in Park;2nd Beach, fieldhouse;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.150733000629, 49.2956269925671]}";;68
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Chilco;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.138591029397, 49.2939220383499]}";;73
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Totems;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.12127801962, 49.2994400235276]}";;81
West Point Grey Park;2250 Trimble Street;Public Toilet in Park;Centre;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.204579564378, 49.2665415433898]}";West Point Grey;92
Woodland Park;705 Woodland Drive;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.073220004653, 49.2783689722403]}";Grandview-Woodland;94
Victory Square;N/A;Comfort Station;N/A;Men: 6am - Women: 8am to Midnight;Men: 6am - Women: 8am to Midnight;No;City of Vancouver;N/A;"{""type"": ""Point"", ""coordinates"": [-123.110132, 49.2825906]}";Downtown;95
Bute at Davie;NE corner of intersection;Automated Public Toilet;NE corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.133141, 49.2818541]}";West End;96
